,work_id,name,artist_id,style,museum_id,subject
1965,27694,Female Nude (Dodo),824,3,"",12
1966,27696,Female Nude with Hat,824,3,"",12
1967,27698,Female Rider,824,3,"",""
1968,27700,"Flower Pot and Sugar Bowl, Flowers",824,3,"",6
1969,27702,Four Wood Sculptures,824,3,"",""
1970,27704,Franzi in Front of Carved Chair,824,3,"",""
1971,27706,"Girl Bathing in the Lake, Moritzburg",824,3,"",5
1972,27708,Girl with Cat (Franzi),824,3,"",""
1973,27710,Good Staberhof III,824,3,"",""
1974,27712,Great Lovers,824,3,"",25
1975,153953,An Algerian Mountain Range,695,18,"",""
1976,154153,At Sunset on the Terrace,695,18,"",""
1977,154043,Bather in the Palm Plantation,695,18,"",12
1978,153962,Children Riding a Donkey at Bou Saada,695,18,"",""
1979,153832,Conciliabule dans la Nuit,695,18,"",""
1980,154054,Fillette Se Voilant,695,18,"",""
